uniprot,protein_length,source_database,organism,in_alphafold,pfam_accession,name,source_database,type,integrated,member_databases,go_terms,start,end,dc-status,representative,representative,model,score
Q6DT37,1551,reviewed,9606,True,PF00130,Phorbol esters/diacylglycerol binding domain (C1 domain),pfam,domain,IPR002219,,,879,927,CONTINUOUS,False,False,PF00130,7.3e-07
Q6DT37,1551,reviewed,9606,True,PF00433,Protein kinase C terminal domain,pfam,family,IPR017892,,,357,398,CONTINUOUS,False,False,PF00433,0.019
Q6DT37,1551,reviewed,9606,True,PF00780,CNH domain,pfam,repeat,IPR001180,,,1103,1360,CONTINUOUS,False,False,PF00780,6.5e-56
Q6DT37,1551,reviewed,9606,True,PF08826,DMPK coiled coil domain like,pfam,coiled_coil,IPR014930,,,744,800,CONTINUOUS,False,False,PF08826,6.3e-16
P78527,4128,reviewed,9606,False,PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,,,3749,4014,CONTINUOUS,False,False,PF00454,1.5e-64
P78527,4128,reviewed,9606,False,PF02259,FAT domain,pfam,repeat,IPR003151,,,3024,3470,CONTINUOUS,False,False,PF02259,1.2e-66
P78527,4128,reviewed,9606,False,PF02260,FATC domain,pfam,family,IPR003152,,,4098,4128,CONTINUOUS,False,False,PF02260,2.4e-05
P78527,4128,reviewed,9606,False,PF08163,"DNA-dependent protein kinase catalytic subunit, CC3",pfam,repeat,IPR012582,,,1816,2202,CONTINUOUS,False,False,PF08163,0.0
P78527,4128,reviewed,9606,False,PF19704,"DNA-PKcs, CC5",pfam,repeat,IPR045581,,,2213,2898,CONTINUOUS,True,True,PF19704,0.0
P78527,4128,reviewed,9606,False,PF20500,"DNA-PKcs, N-terminal",pfam,repeat,IPR046804,,,52,862,CONTINUOUS,True,True,PF20500,0.0
P78527,4128,reviewed,9606,False,PF20502,"DNA-dependent protein kinase catalytic subunit, CC1/2",pfam,repeat,IPR046803,,,956,1759,CONTINUOUS,True,True,PF20502,0.0
Q9Y463,629,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,111,431,CONTINUOUS,False,False,PF00069,1.2e-45
Q92630,601,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,222,535,CONTINUOUS,False,False,PF00069,1.4e-54
Q9NR20,520,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,104,400,CONTINUOUS,False,False,PF00069,1.5e-50
O00418,725,reviewed,9606,True,PF02816,Alpha-kinase family,pfam,family,IPR004166,,,139,318,CONTINUOUS,False,False,PF02816,3.8e-56
P00533,1210,reviewed,9606,True,PF00757,Furin-like cysteine rich region,pfam,domain,IPR006211,,,185,338,CONTINUOUS,True,True,PF00757,5.7e-24
P00533,1210,reviewed,9606,True,PF01030,Receptor L domain,pfam,repeat,IPR000494,,,57,167,CONTINUOUS,True,True,PF01030,2.6e-25
P00533,1210,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,714,966,CONTINUOUS,False,False,PF07714,1.8e-88
P00533,1210,reviewed,9606,True,PF14843,Growth factor receptor domain IV,pfam,domain,IPR032778,,,505,637,CONTINUOUS,True,True,PF14843,3.4e-44
P00533,1210,reviewed,9606,True,PF21314,Epidermal growth factor receptor transmembrane-juxtamembrane segment,pfam,domain,IPR049328,,,646,681,CONTINUOUS,False,False,PF21314,1.1e-07
P19525,551,reviewed,9606,True,PF00035,Double-stranded RNA binding motif,pfam,domain,IPR014720,,,13,75,CONTINUOUS,False,False,PF00035,2.8e-12
P19525,551,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,268,534,CONTINUOUS,False,False,PF00069,3.9e-49
Q7KZI7,788,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,53,304,CONTINUOUS,False,False,PF00069,1.6e-74
Q7KZI7,788,reviewed,9606,True,PF00627,UBA/TS-N domain,pfam,domain,IPR015940,,,325,360,CONTINUOUS,False,False,PF00627,0.003
Q7KZI7,788,reviewed,9606,True,PF02149,Kinase associated domain 1,pfam,domain,IPR001772,,,746,788,CONTINUOUS,False,False,PF02149,9.6e-17
P21709,976,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,334,431,CONTINUOUS,False,False,PF00041,4.8e-08
P21709,976,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,914,975,CONTINUOUS,False,False,PF00536,1.2e-19
P21709,976,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,28,204,CONTINUOUS,False,False,PF01404,1.5e-52
P21709,976,reviewed,9606,True,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,,,275,309,CONTINUOUS,False,False,PF07699,0.088
P21709,976,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,626,880,CONTINUOUS,False,False,PF07714,1.7e-94
P21709,976,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,548,621,CONTINUOUS,True,True,PF14575,1.1e-13
P29317,976,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,331,420,CONTINUOUS,False,False,PF00041,1.4e-06
P29317,976,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,904,966,CONTINUOUS,False,False,PF00536,3.4e-18
P29317,976,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,29,201,CONTINUOUS,False,False,PF01404,9.1e-62
P29317,976,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,614,871,CONTINUOUS,False,False,PF07714,1.2e-97
P29317,976,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,538,610,CONTINUOUS,True,True,PF14575,4e-19
P29320,983,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,327,421,CONTINUOUS,False,False,PF00041,4.4e-06
P29320,983,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,31,202,CONTINUOUS,False,False,PF01404,2.9e-68
P29320,983,reviewed,9606,True,PF07647,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,908,973,CONTINUOUS,False,False,PF07647,2.1e-10
P29320,983,reviewed,9606,True,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,,,269,303,CONTINUOUS,False,False,PF07699,0.0013
P29320,983,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,622,878,CONTINUOUS,False,False,PF07714,2.4e-98
P29320,983,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,545,618,CONTINUOUS,True,True,PF14575,2.9e-19
P54764,986,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,330,423,CONTINUOUS,False,False,PF00041,1.6e-06
P54764,986,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,31,204,CONTINUOUS,False,False,PF01404,2.6e-71
P54764,986,reviewed,9606,True,PF07647,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,909,973,CONTINUOUS,False,False,PF07647,2.9e-17
P54764,986,reviewed,9606,True,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,,,269,306,CONTINUOUS,False,False,PF07699,0.1
P54764,986,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,621,878,CONTINUOUS,False,False,PF07714,3.4e-95
P54764,986,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,550,618,CONTINUOUS,True,True,PF14575,2e-21
P54756,1037,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,359,449,CONTINUOUS,False,False,PF00041,2.5e-06
P54756,1037,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,966,1027,CONTINUOUS,False,False,PF00536,1.4e-18
P54756,1037,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,62,233,CONTINUOUS,False,False,PF01404,7.8e-68
P54756,1037,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,675,932,CONTINUOUS,False,False,PF07714,2e-96
P54756,1037,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,575,672,CONTINUOUS,True,True,PF14575,6.8e-20
P29322,1005,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,330,421,CONTINUOUS,False,False,PF00041,0.00058
P29322,1005,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,934,992,CONTINUOUS,False,False,PF00536,1.1e-16
P29322,1005,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,33,204,CONTINUOUS,False,False,PF01404,2.9e-64
P29322,1005,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,635,892,CONTINUOUS,False,False,PF07714,2.4e-91
P29322,1005,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,543,632,CONTINUOUS,True,True,PF14575,5.3e-12
P54762,984,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,326,415,CONTINUOUS,False,False,PF00041,0.00026
P54762,984,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,911,973,CONTINUOUS,False,False,PF00536,8.4e-17
P54762,984,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,20,196,CONTINUOUS,False,False,PF01404,1.7e-70
P54762,984,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,619,878,CONTINUOUS,False,False,PF07714,2.8e-98
P54762,984,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,542,616,CONTINUOUS,True,True,PF14575,2.9e-20
P29323,1055,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,326,423,CONTINUOUS,False,False,PF00041,6.4e-07
P29323,1055,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,911,975,CONTINUOUS,False,False,PF00536,1.3e-17
P29323,1055,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,21,197,CONTINUOUS,False,False,PF01404,3.3e-71
P29323,1055,reviewed,9606,True,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,,,268,302,CONTINUOUS,False,False,PF07699,0.0012
P29323,1055,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,621,880,CONTINUOUS,False,False,PF07714,4.9e-97
P29323,1055,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,544,617,CONTINUOUS,True,True,PF14575,2.6e-22
P54753,998,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,341,435,CONTINUOUS,False,False,PF00041,1.3e-06
P54753,998,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,924,987,CONTINUOUS,False,False,PF00536,3.5e-19
P54753,998,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,40,212,CONTINUOUS,False,False,PF01404,5.8e-71
P54753,998,reviewed,9606,True,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,,,281,316,CONTINUOUS,False,False,PF07699,0.0032
P54753,998,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,633,892,CONTINUOUS,False,False,PF07714,4.2e-93
P54753,998,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,560,630,CONTINUOUS,True,True,PF14575,2.9e-23
P54760,987,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,325,413,CONTINUOUS,False,False,PF00041,0.0019
P54760,987,reviewed,9606,True,PF00536,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,908,969,CONTINUOUS,False,False,PF00536,3.6e-16
P54760,987,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,18,197,CONTINUOUS,False,False,PF01404,1.3e-60
P54760,987,reviewed,9606,True,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,,,261,299,CONTINUOUS,False,False,PF07699,0.005
P54760,987,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,615,874,CONTINUOUS,False,False,PF07714,7.9e-93
P54760,987,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,541,612,CONTINUOUS,True,True,PF14575,4.8e-20
O15197,1021,reviewed,9606,True,PF00041,Fibronectin type III domain,pfam,domain,IPR003961,,,496,576,CONTINUOUS,False,False,PF00041,2.3e-11
O15197,1021,reviewed,9606,True,PF01404,Ephrin receptor ligand binding domain,pfam,domain,IPR001090,,,34,232,CONTINUOUS,False,False,PF01404,2.7e-50
O15197,1021,reviewed,9606,True,PF07647,SAM domain (Sterile alpha motif),pfam,domain,IPR001660,,,946,1010,CONTINUOUS,False,False,PF07647,2e-14
O15197,1021,reviewed,9606,True,PF07699,Tyrosine-protein kinase ephrin type A/B receptor-like,pfam,domain,IPR011641,,,306,345,CONTINUOUS,False,False,PF07699,0.0031
O15197,1021,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,670,914,CONTINUOUS,False,False,PF07714,1.1e-64
O15197,1021,reviewed,9606,True,PF14575,Ephrin type-A receptor 2 transmembrane domain,pfam,domain,IPR027936,,,596,667,CONTINUOUS,True,True,PF14575,1.3e-15
P27361,379,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,42,330,CONTINUOUS,False,False,PF00069,4.8e-64
P28482,360,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,25,313,CONTINUOUS,False,False,PF00069,2.1e-63
Q16659,721,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,20,316,CONTINUOUS,False,False,PF00069,2.1e-61
P31152,587,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,23,312,CONTINUOUS,False,False,PF00069,2.2e-63
Q05397,1052,reviewed,9606,True,PF00373,FERM central domain,pfam,domain,IPR019748,,,136,249,CONTINUOUS,False,False,PF00373,2.3e-09
Q05397,1052,reviewed,9606,True,PF03623,Focal adhesion targeting region,pfam,domain,IPR005189,,,914,1045,CONTINUOUS,True,True,PF03623,2.5e-55
Q05397,1052,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,422,676,CONTINUOUS,False,False,PF07714,1.5e-93
Q05397,1052,reviewed,9606,True,PF18038,FERM N-terminal domain,pfam,domain,IPR041390,,,35,130,CONTINUOUS,False,False,PF18038,2.7e-37
Q05397,1052,reviewed,9606,True,PF21477,"FAK1/PYK2, FERM domain C-lobe",pfam,domain,IPR049385,,,260,357,CONTINUOUS,False,False,PF21477,5.7e-37
P16591,822,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,460,531,CONTINUOUS,False,False,PF00017,1.1e-18
P16591,822,reviewed,9606,True,PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,,,11,85,CONTINUOUS,False,False,PF00611,4.8e-09
P16591,822,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,565,814,CONTINUOUS,False,False,PF07714,3.7e-97
P07332,822,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,460,529,CONTINUOUS,False,False,PF00017,1.7e-13
P07332,822,reviewed,9606,True,PF00611,"Fes/CIP4, and EFC/F-BAR homology domain",pfam,family,IPR001060,,,12,85,CONTINUOUS,False,False,PF00611,0.00018
P07332,822,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,562,814,CONTINUOUS,False,False,PF07714,1.4e-92
P11362,822,reviewed,9606,True,PF00047,Immunoglobulin domain,pfam,domain,IPR013151,,,44,113,CONTINUOUS,False,False,PF00047,6e-06
P11362,822,reviewed,9606,True,PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,,,168,247,CONTINUOUS,False,False,PF07679,3.4e-11
P11362,822,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,479,754,CONTINUOUS,False,False,PF07714,2.5e-98
P21802,821,reviewed,9606,True,PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,,,171,248,CONTINUOUS,False,False,PF07679,8.4e-12
P21802,821,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,481,757,CONTINUOUS,False,False,PF07714,5.9e-99
P21802,821,reviewed,9606,True,PF13927,Immunoglobulin domain,pfam,domain,,,,45,110,CONTINUOUS,False,False,PF13927,0.00022
P22607,806,reviewed,9606,True,PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,,,166,245,CONTINUOUS,False,False,PF07679,1.3e-12
P22607,806,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,472,748,CONTINUOUS,False,False,PF07714,3e-98
P22607,806,reviewed,9606,True,PF13927,Immunoglobulin domain,pfam,domain,,,,260,343,CONTINUOUS,False,False,PF13927,5.6e-07
P22607,806,reviewed,9606,True,PF21165,Fibroblast growth factor receptor 3 transmembrane domain,pfam,domain,,,,373,397,CONTINUOUS,True,True,PF21165,4.2e-09
P22455,802,reviewed,9606,True,PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,,,161,239,CONTINUOUS,False,False,PF07679,1.7e-11
P22455,802,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,468,743,CONTINUOUS,False,False,PF07714,3.6e-95
P22455,802,reviewed,9606,True,PF13927,Immunoglobulin domain,pfam,domain,,,,256,337,CONTINUOUS,False,False,PF13927,4.8e-06
P09769,529,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,144,226,CONTINUOUS,False,False,PF00017,7.5e-25
P09769,529,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,83,130,CONTINUOUS,False,False,PF00018,1.7e-15
P09769,529,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,263,512,CONTINUOUS,False,False,PF07714,1.8e-88
P36888,993,reviewed,9606,True,PF00047,Immunoglobulin domain,pfam,domain,IPR013151,,,259,341,CONTINUOUS,False,False,PF00047,1.4e-07
P36888,993,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,610,942,CONTINUOUS,False,False,PF07714,1.5e-90
P17948,1338,reviewed,9606,True,PF00047,Immunoglobulin domain,pfam,domain,IPR013151,,,239,321,CONTINUOUS,False,False,PF00047,2e-05
P17948,1338,reviewed,9606,True,PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,,,350,407,CONTINUOUS,False,False,PF07679,9.5e-05
P17948,1338,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,827,1154,CONTINUOUS,False,False,PF07714,7.6e-92
P17948,1338,reviewed,9606,True,PF13927,Immunoglobulin domain,pfam,domain,,,,568,640,CONTINUOUS,False,False,PF13927,0.00012
P17948,1338,reviewed,9606,True,PF17988,VEGFR-2 Transmembrane domain,pfam,domain,IPR041348,,,753,787,CONTINUOUS,True,True,PF17988,3.1e-14
P17948,1338,reviewed,9606,True,PF21339,"Vascular endothelial growth factor receptor 1-like, Ig-like domain",pfam,domain,,,,143,224,CONTINUOUS,True,True,PF21339,3.2e-35
P17948,1338,reviewed,9606,True,PF22854,"VEGFR1-3, N-terminal Ig-like domain",pfam,domain,,,,26,137,CONTINUOUS,True,True,PF22854,2.1e-05
P17948,1338,reviewed,9606,True,PF22971,"VEGFR-1-like, immunoglobulin-like domain",pfam,domain,,,,426,556,CONTINUOUS,True,True,PF22971,1.7e-18
P35916,1363,reviewed,9606,True,PF07679,Immunoglobulin I-set domain,pfam,domain,IPR013098,,,678,765,CONTINUOUS,True,True,PF07679,2.3e-11
P35916,1363,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,845,1169,CONTINUOUS,False,False,PF07714,2.1e-87
P35916,1363,reviewed,9606,True,PF13927,Immunoglobulin domain,pfam,domain,,,,236,314,CONTINUOUS,False,False,PF13927,0.00012
P35916,1363,reviewed,9606,True,PF17988,VEGFR-2 Transmembrane domain,pfam,domain,IPR041348,,,770,804,CONTINUOUS,True,True,PF17988,1.6e-15
P35916,1363,reviewed,9606,True,PF21339,"Vascular endothelial growth factor receptor 1-like, Ig-like domain",pfam,domain,,,,146,223,CONTINUOUS,True,True,PF21339,8e-08
P35916,1363,reviewed,9606,True,PF22854,"VEGFR1-3, N-terminal Ig-like domain",pfam,domain,,,,23,141,CONTINUOUS,True,True,PF22854,3.6e-10
P35916,1363,reviewed,9606,True,PF22971,"VEGFR-1-like, immunoglobulin-like domain",pfam,domain,,,,421,553,CONTINUOUS,True,True,PF22971,4.8e-12
P42345,2549,reviewed,9606,True,PF00454,Phosphatidylinositol 3- and 4-kinase,pfam,family,IPR000403,,,2182,2430,CONTINUOUS,False,False,PF00454,2.4e-79
P42345,2549,reviewed,9606,True,PF02259,FAT domain,pfam,repeat,IPR003151,,,1513,1908,CONTINUOUS,False,False,PF02259,1.5e-111
P42345,2549,reviewed,9606,True,PF02260,FATC domain,pfam,family,IPR003152,,,2519,2549,CONTINUOUS,False,False,PF02260,2.4e-13
P42345,2549,reviewed,9606,True,PF08771,FKBP12-rapamycin binding domain,pfam,domain,IPR009076,,,2015,2113,CONTINUOUS,False,False,PF08771,1.9e-40
P42345,2549,reviewed,9606,True,PF11865,Serine/threonine-protein kinase mTOR domain,pfam,repeat,IPR024585,,,854,1024,CONTINUOUS,True,True,PF11865,5.6e-58
P06241,537,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,149,231,CONTINUOUS,False,False,PF00017,2.3e-25
P06241,537,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,88,135,CONTINUOUS,False,False,PF00018,1.1e-16
P06241,537,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,271,520,CONTINUOUS,False,False,PF07714,1.3e-92
O14976,1311,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,43,312,CONTINUOUS,False,False,PF00069,7.6e-45
O14976,1311,reviewed,9606,True,PF10409,C2 domain of PTEN tumour-suppressor protein,pfam,domain,IPR014020,,,570,708,CONTINUOUS,False,False,PF10409,4.9e-26
P32298,578,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,189,448,CONTINUOUS,False,False,PF00069,1.2e-61
P32298,578,reviewed,9606,True,PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,,,53,171,CONTINUOUS,False,False,PF00615,1.9e-21
P34947,590,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,187,448,CONTINUOUS,False,False,PF00069,9.9e-62
P34947,590,reviewed,9606,True,PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,,,53,170,CONTINUOUS,False,False,PF00615,4.6e-23
P43250,576,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,187,448,CONTINUOUS,False,False,PF00069,5.1e-66
P43250,576,reviewed,9606,True,PF00615,Regulator of G protein signaling domain,pfam,domain,IPR016137,,,53,170,CONTINUOUS,False,False,PF00615,2.6e-20
Q92519,343,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,75,308,CONTINUOUS,False,False,PF00069,5.7e-33
P49840,483,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,119,403,CONTINUOUS,False,False,PF00069,9.9e-63
P49841,420,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,56,340,CONTINUOUS,False,False,PF00069,1.4e-61
P08631,526,reviewed,9606,True,PF00017,SH2 domain,pfam,domain,IPR000980,,,144,226,CONTINUOUS,False,False,PF00017,2.1e-22
P08631,526,reviewed,9606,True,PF00018,SH3 domain,pfam,domain,IPR001452,,,84,130,CONTINUOUS,False,False,PF00018,9.6e-14
P08631,526,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,262,511,CONTINUOUS,False,False,PF07714,2.4e-93
P04626,1255,reviewed,9606,True,PF00757,Furin-like cysteine rich region,pfam,domain,IPR006211,,,190,343,CONTINUOUS,True,True,PF00757,7.6e-21
P04626,1255,reviewed,9606,True,PF01030,Receptor L domain,pfam,repeat,IPR000494,,,52,172,CONTINUOUS,True,True,PF01030,1.8e-24
P04626,1255,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,722,975,CONTINUOUS,False,False,PF07714,3.7e-87
P04626,1255,reviewed,9606,True,PF14843,Growth factor receptor domain IV,pfam,domain,IPR032778,,,511,642,CONTINUOUS,True,True,PF14843,3.1e-39
P04626,1255,reviewed,9606,True,PF21314,Epidermal growth factor receptor transmembrane-juxtamembrane segment,pfam,domain,IPR049328,,,654,688,CONTINUOUS,False,False,PF21314,6.8e-07
P21860,1342,reviewed,9606,True,PF00757,Furin-like cysteine rich region,pfam,domain,IPR006211,,,182,332,CONTINUOUS,True,True,PF00757,2.2e-25
P21860,1342,reviewed,9606,True,PF01030,Receptor L domain,pfam,repeat,IPR000494,,,56,166,CONTINUOUS,True,True,PF01030,2.3e-24
P21860,1342,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,711,964,CONTINUOUS,False,False,PF07714,1.3e-78
P21860,1342,reviewed,9606,True,PF14843,Growth factor receptor domain IV,pfam,domain,IPR032778,,,499,629,CONTINUOUS,False,False,PF14843,9.2e-46
Q15303,1308,reviewed,9606,True,PF00757,Furin-like cysteine rich region,pfam,domain,IPR006211,,,186,335,CONTINUOUS,True,True,PF00757,4.1e-24
Q15303,1308,reviewed,9606,True,PF01030,Receptor L domain,pfam,repeat,IPR000494,,,55,166,CONTINUOUS,True,True,PF01030,2.9e-26
Q15303,1308,reviewed,9606,True,PF07714,Protein tyrosine and serine/threonine kinase,pfam,domain,IPR001245,,,719,973,CONTINUOUS,False,False,PF07714,1.1e-92
Q15303,1308,reviewed,9606,True,PF14843,Growth factor receptor domain IV,pfam,domain,IPR032778,,,502,633,CONTINUOUS,False,False,PF14843,2.7e-41
Q15303,1308,reviewed,9606,True,PF21314,Epidermal growth factor receptor transmembrane-juxtamembrane segment,pfam,domain,IPR049328,,,653,688,CONTINUOUS,True,True,PF21314,6.6e-10
Q86Z02,1210,reviewed,9606,True,PF00069,Protein kinase domain,pfam,domain,IPR000719,,,190,518,CONTINUOUS,False,False,PF00069,3.6e-46
